Year,Ward,Week,People in Ward,Season,Construction,Water Usage
2016,4,43,320,3,0,82880
2016,4,44,320,3,0,94080
2016,4,45,320,3,1,110073
2016,4,46,320,3,1,95312
2016,4,47,320,3,1,105369
2016,4,48,320,3,0,82880
2016,4,49,320,3,1,111955
2016,4,50,320,3,0,85120
2016,4,51,320,3,0,82880
2016,4,52,320,3,1,106624
2016,5,1,150,1,0,53550
2016,5,2,150,1,1,61950
2016,5,3,150,1,0,52500
2016,5,4,150,1,1,61047
2016,5,5,150,1,1,56752
2016,5,6,150,1,0,49350
2016,5,7,150,1,1,62475
2016,5,8,150,1,1,58968
2016,5,9,150,1,0,52500
2016,5,10,150,1,1,58138
2016,5,11,150,1,1,61225
2016,5,12,150,1,0,53550
2016,5,13,150,1,1,60196
2016,5,14,150,1,0,51450
2016,5,15,150,1,1,58233
2016,5,16,150,1,0,52500
2016,5,18,150,2,1,32634
2016,5,19,150,2,0,28350
2016,5,20,150,2,1,32886
2016,5,21,150,2,0,31500
2016,5,22,150,2,1,36781
2016,5,23,150,2,0,30450
2016,5,24,150,2,0,28350
2016,5,25,150,2,1,31752
2016,5,26,150,2,0,31500
2016,5,27,150,2,0,34650
2016,5,28,150,2,0,34650
2016,5,29,150,2,0,32550
2016,5,30,150,2,0,32550
2016,5,31,150,2,1,35322
2016,5,32,150,2,1,33799
2016,5,33,150,2,0,33600
2016,5,34,150,2,0,29400
2016,5,35,150,3,1,46200
2016,5,36,150,3,1,43900
2016,5,37,150,3,0,39900
2016,5,38,150,3,0,44100
2016,5,39,150,3,0,39900
2016,5,40,150,3,1,49833
2016,5,41,150,3,1,48730
2016,5,42,150,3,0,43050
2016,5,43,150,3,0,40950
2016,5,44,150,3,1,49833
2016,5,45,150,3,0,42000
2016,5,46,150,3,0,40950
2016,5,47,150,3,0,44100
2016,5,48,150,3,0,43050
2016,5,49,150,3,1,50368
2016,5,50,150,3,0,42000
2016,5,51,150,3,1,52038
2016,5,52,150,3,0,39900
2016,6,1,856,1,0,281624
2016,6,2,856,1,1,346457
2016,6,3,856,1,1,316377
2016,6,4,856,1,1,351430
2016,6,5,856,1,0,305592
2016,6,6,856,1,0,299600
2016,6,7,856,1,1,325904
2016,6,8,856,1,1,339207
2016,6,9,856,1,0,305592
2016,6,10,856,1,1,336151
2016,6,11,856,1,0,281624
2016,6,12,856,1,0,281624
2016,6,13,856,1,0,299600
2016,6,14,856,1,0,305592
2016,6,15,856,1,0,287616
2016,6,16,856,1,1,326683
2016,6,18,856,2,0,185752
2016,6,19,856,2,1,221464
2016,6,20,856,2,1,189586
2016,6,21,856,2,1,217329
2016,6,22,856,2,1,196297
2016,6,23,856,2,1,199533
2016,6,24,856,2,0,197736
2016,6,25,856,2,0,167776
2016,6,26,856,2,1,182815
2016,6,27,856,2,0,173768
2016,6,28,856,2,0,185752
2016,6,29,856,2,0,191744
2016,6,30,856,2,0,179760
2016,6,31,856,2,1,235305
2016,6,32,856,2,1,190905
2016,6,33,856,2,0,185752
2016,6,34,856,2,0,179760
2016,6,35,856,3,1,255019
2016,6,36,856,3,0,221704
2016,6,37,856,3,0,221704
2016,6,38,856,3,0,245672
2016,6,39,856,3,1,259573
2016,6,40,856,3,0,245672
2016,6,41,856,3,1,250465
2016,6,42,856,3,0,227696
2016,6,43,856,3,0,227696
2016,6,44,856,3,0,227696
2016,6,45,856,3,1,261610
2016,6,46,856,3,1,296963
2016,6,47,856,3,1,275152
2016,6,48,856,3,0,233688
2016,6,49,856,3,0,251664
2016,6,50,856,3,0,221704
2016,6,51,856,3,0,221704
2016,6,52,856,3,0,221704
2017,1,1,452,1,1,174020
2017,1,2,452,1,1,172501
2017,1,3,452,1,1,170539
2017,1,4,452,1,0,158200
2017,1,5,452,1,0,151872
2017,1,6,452,1,0,151872
2017,1,7,452,1,0,161364
2017,1,8,452,1,0,151872
2017,1,9,452,1,1,188795
2017,1,10,452,1,1,166552
2017,1,11,452,1,1,179114
2017,1,12,452,1,1,167059
2017,1,13,452,1,1,178291
2017,1,14,452,1,0,148708
2017,1,15,452,1,0,158200
2017,1,16,452,1,1,173640
2017,1,18,452,2,0,101248
2017,1,19,452,2,0,98084
2017,1,20,452,2,1,115897
2017,1,21,452,2,1,112385
2017,1,22,452,2,0,88592
2017,1,23,452,2,0,104412
2017,1,24,452,2,1,114758
2017,1,25,452,2,1,114758
2017,1,26,452,2,1,100931
2017,1,27,452,2,1,107259
2017,1,28,452,2,0,101248
2017,1,29,452,2,1,115897
2017,1,30,452,2,1,102766
2017,1,31,452,2,0,85428
2017,1,32,452,2,1,104601
2017,1,33,452,2,0,88592
2017,1,34,452,2,0,88592
2017,1,35,452,3,1,143012
2017,1,36,452,3,1,132255
2017,1,37,452,3,0,129724
2017,1,38,452,3,1,139469
2017,1,39,452,3,1,135798
2017,1,40,452,3,1,156807
2017,1,41,452,3,1,138203
2017,1,42,452,3,1,135735
2017,1,43,452,3,0,132888
2017,1,44,452,3,0,123396
2017,1,45,452,3,1,137064
2017,1,46,452,3,1,141905
2017,1,47,452,3,1,150163
2017,1,48,452,3,0,123396
2017,1,49,452,3,1,145544
2017,1,50,452,3,1,146841
2017,1,51,452,3,1,152821
2017,1,52,452,3,0,132888
2017,2,1,580,1,1,221351
2017,2,2,580,1,0,194880
2017,2,3,580,1,1,223300
2017,2,4,580,1,0,194880
2017,2,5,580,1,0,207060
2017,2,6,580,1,1,237510
2017,2,7,580,1,1,229390
2017,2,8,580,1,1,224112
2017,2,9,580,1,1,217534
2017,2,10,580,1,0,190820
2017,2,11,580,1,1,241570
2017,2,12,580,1,0,207060
2017,2,13,580,1,0,207060
2017,2,14,580,1,0,190820
2017,2,15,580,1,0,207060
2017,2,16,580,1,1,217534
2017,2,18,580,2,1,140070
2017,2,19,580,2,1,131868
2017,2,20,580,2,1,151397
2017,2,21,580,2,1,122774
2017,2,22,580,2,1,152006
2017,2,23,580,2,0,125860
2017,2,24,580,2,0,129920
2017,2,25,580,2,0,121800
2017,2,26,580,2,1,129595
2017,2,27,580,2,1,142912
2017,2,28,580,2,1,153305
2017,2,29,580,2,1,144739
2017,2,30,580,2,1,128255
2017,2,31,580,2,1,142506
2017,2,32,580,2,1,144942
2017,2,33,580,2,1,145997
2017,2,34,580,2,1,126184
2017,2,35,580,3,1,172793
2017,2,36,580,3,1,189764
2017,2,37,580,3,1,198087
2017,2,38,580,3,0,154280
2017,2,39,580,3,1,175879
2017,2,40,580,3,1,189764
2017,2,41,580,3,0,158340
2017,2,42,580,3,1,196422
2017,2,43,580,3,0,154280
2017,2,44,580,3,0,150220
2017,2,45,580,3,1,172793
2017,2,46,580,3,1,171250
2017,2,47,580,3,1,198087
2017,2,48,580,3,1,192687
2017,2,49,580,3,1,183106
2017,2,50,580,3,1,171250
2017,2,51,580,3,1,183512
2017,2,52,580,3,0,154280
2017,3,1,640,1,0,224000
2017,3,2,640,1,1,233721
2017,3,3,640,1,1,247296
2017,3,4,640,1,1,269606
2017,3,5,640,1,0,228480
2017,3,6,640,1,1,250880
2017,3,7,640,1,1,240844
2017,3,8,640,1,0,210560
2017,3,9,640,1,0,228480
2017,3,10,640,1,0,224000
2017,3,11,640,1,1,237932
2017,3,12,640,1,0,228480
2017,3,13,640,1,0,215040
2017,3,14,640,1,0,219520
2017,3,15,640,1,0,219520
2017,3,16,640,1,0,228480
2017,3,18,640,2,0,147840
2017,3,19,640,2,1,174451
2017,3,20,640,2,0,129920
2017,3,21,640,2,0,147840
2017,3,22,640,2,0,138880
2017,3,23,640,2,0,143360
2017,3,24,640,2,0,138880
2017,3,25,640,2,0,120960
2017,3,26,640,2,0,147840
2017,3,27,640,2,1,142732
2017,3,28,640,2,0,147840
2017,3,29,640,2,0,138880
2017,3,30,640,2,0,129920
2017,3,31,640,2,0,125440
2017,3,32,640,2,0,143360
2017,3,33,640,2,1,174451
2017,3,34,640,2,1,157248
2017,3,35,640,3,1,187308
2017,3,36,640,3,0,174720
2017,3,37,640,3,0,170240
2017,3,38,640,3,1,207872
2017,3,39,640,3,0,179200
2017,3,40,640,3,1,193939
2017,3,41,640,3,1,200928
2017,3,42,640,3,0,174720
2017,3,43,640,3,0,188160
2017,3,44,640,3,0,183680
2017,3,45,640,3,1,197478
2017,3,46,640,3,1,183993
2017,3,47,640,3,1,200928
2017,3,48,640,3,1,220147
2017,3,49,640,3,1,192371
2017,3,50,640,3,0,188160
2017,3,51,640,3,0,179200
2017,3,52,640,3,0,188160
2017,4,1,320,1,1,130233
2017,4,2,320,1,0,109760
2017,4,3,320,1,1,134803
2017,4,4,320,1,1,127948
2017,4,5,320,1,0,109760
2017,4,6,320,1,1,126560
2017,4,7,320,1,1,126224
2017,4,8,320,1,0,114240
2017,4,9,320,1,0,109760
2017,4,10,320,1,1,125283
2017,4,11,320,1,0,114240
2017,4,12,320,1,0,114240
2017,4,13,320,1,1,133660
2017,4,14,320,1,1,124028
2017,4,15,320,1,1,124723
2017,4,16,320,1,1,133280
2017,4,18,320,2,1,79564
2017,4,19,320,2,1,73920
2017,4,20,320,2,1,75936
2017,4,21,320,2,1,75353
2017,4,22,320,2,0,64960
2017,4,23,320,2,0,62720
2017,4,24,320,2,1,75936
2017,4,25,320,2,1,81939
2017,4,26,320,2,1,79296
2017,4,27,320,2,0,62720
2017,4,28,320,2,0,60480
2017,4,29,320,2,0,71680
2017,4,30,320,2,1,70873
2017,4,31,320,2,1,74704
2017,4,32,320,2,0,69440
2017,4,33,320,2,0,73920
2017,4,34,320,2,0,71680
2017,4,35,320,3,0,85120
2017,4,36,320,3,0,94080
2017,4,37,320,3,1,101248
2017,4,38,320,3,0,87360
2017,4,39,320,3,1,94483
2017,4,40,320,3,1,99456
2017,4,41,320,3,1,99590
2017,4,42,320,3,0,85120
2017,4,43,320,3,0,91840
2017,4,44,320,3,0,94080
2017,4,45,320,3,0,91840
2017,4,46,320,3,1,106310
2017,4,47,320,3,1,105728
2017,4,48,320,3,1,97888
2017,4,49,320,3,0,85120
2017,4,50,320,3,0,82880
2017,4,51,320,3,1,105369
2017,4,52,320,3,0,91840
2017,5,1,150,1,0,53550
2017,5,2,150,1,0,50400
2017,5,3,150,1,1,57960
2017,5,4,150,1,1,59682
2017,5,5,150,1,1,58464
2017,5,6,150,1,1,60511
2017,5,7,150,1,1,55765
2017,5,8,150,1,0,53550
2017,5,9,150,1,1,58653
2017,5,10,150,1,0,50400
2017,5,11,150,1,1,58233
2017,5,12,150,1,0,52500
2017,5,13,150,1,1,58653
2017,5,14,150,1,0,50400
2017,5,15,150,1,0,49350
2017,5,16,150,1,1,59325
2017,5,18,150,2,1,34713
2017,5,19,150,2,0,31500
2017,5,20,150,2,1,32035
2017,5,21,150,2,1,38083
2017,5,22,150,2,0,32550
2017,5,23,150,2,0,33600
2017,5,24,150,2,1,36781
2017,5,25,150,2,0,32550
2017,5,26,150,2,1,35910
2017,5,27,150,2,0,28350
2017,5,28,150,2,1,38640
2017,5,29,150,2,1,41233
2017,5,30,150,2,0,30450
2017,5,31,150,2,1,39501
2017,5,32,150,2,0,28350
2017,5,33,150,2,0,28350
2017,5,34,150,2,1,33799
2017,5,35,150,3,0,44100
2017,5,36,150,3,1,45864
2017,5,37,150,3,1,45045
2017,5,38,150,3,1,45843
2017,5,39,150,3,0,42000
2017,5,40,150,3,0,42000
2017,5,41,150,3,0,42000
2017,5,42,150,3,1,44289
2017,5,43,150,3,1,43890
2017,5,44,150,3,0,44100
2017,5,45,150,3,1,51229
2017,5,46,150,3,1,47880
2017,5,47,150,3,1,51597
2017,5,48,150,3,1,51597
2017,5,49,150,3,1,49507
2017,5,50,150,3,0,40950
2017,5,51,150,3,1,49077
2017,5,52,150,3,0,44100
2017,6,1,856,1,1,333634
2017,6,2,856,1,1,360598
2017,6,3,856,1,0,281624
2017,6,4,856,1,0,305592
